Issue Type,Issue key,Status,Labels,Status Last Changed,Desired Ship Date,Priority
MakeIDB,MFG-157333,Ready for Print File Setup,reorder,27/Jan/22 12:34 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157332,Open,reorder,27/Jan/22 12:34 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157306,Ready for Print File Setup,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157305,Open,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157301,Ready for Print File Setup,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157300,Open,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157268,Ready for Print File Setup,reorder,27/Jan/22 11:56 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157267,Open,reorder,27/Jan/22 11:56 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157263,Ready for Print File Setup,reorder,27/Jan/22 11:54 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157262,Open,reorder,27/Jan/22 11:54 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157258,Ready for Print File Setup,reorder,27/Jan/22 11:50 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157257,Open,reorder,27/Jan/22 11:50 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157245,Ready for Print File Setup,reorder,27/Jan/22 11:46 AM,07/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-157244,Open,reorder,27/Jan/22 11:46 AM,07/Feb/22 12:00 AM,Highest
MakeIDB,MFG-157226,Ready for Print File Setup,reorder,27/Jan/22 11:42 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157225,Open,reorder,27/Jan/22 11:42 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157214,Backlog,mixed_dentition,27/Jan/22 11:38 AM,03/Mar/22 12:00 AM,Medium
MakeBrackets,MFG-157213,Backlog,mixed_dentition,27/Jan/22 11:38 AM,03/Mar/22 12:00 AM,Medium
MakeIDB,MFG-157207,Ready for Print File Setup,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157206,Open,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157202,Ready for Print File Setup,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157201,Open,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157190,Ready for Print File Setup,reorder,27/Jan/22 11:25 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157189,Open,reorder,27/Jan/22 11:25 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157185,Ready for Print File Setup,reorder,27/Jan/22 11:13 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157184,Open,reorder,27/Jan/22 11:13 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157180,Ready for Print File Setup,reorder,27/Jan/22 11:14 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157179,Open,reorder,27/Jan/22 11:14 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157175,Ready for Print File Setup,reorder,27/Jan/22 11:10 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157174,Open,reorder,27/Jan/22 11:10 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157170,Ready for Print File Setup,reorder,27/Jan/22 11:08 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157169,Open,reorder,27/Jan/22 11:08 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157144,Ready for Print File Setup,reorder,27/Jan/22 10:53 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157143,Open,reorder,27/Jan/22 10:53 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157118,Ready for Print File Setup,reorder,27/Jan/22 10:40 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157117,Open,reorder,27/Jan/22 10:40 AM,07/Feb/22 12:00 AM,Medium
MakeTubes,MFG-157087,Open,reorder,27/Jan/22 10:05 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157085,Ready for Print File Setup,reorder,27/Jan/22 10:05 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157073,Ready for Print File Setup,reorder,27/Jan/22 9:51 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157072,Open,reorder,27/Jan/22 9:51 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157068,Ready for Print File Setup,reorder,27/Jan/22 9:50 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157067,Open,reorder,27/Jan/22 9:50 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157063,Ready for Print File Setup,reorder,27/Jan/22 9:47 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157062,Open,reorder,27/Jan/22 9:47 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157058,Ready for Print File Setup,reorder,27/Jan/22 9:42 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157057,Open,reorder,27/Jan/22 9:42 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157039,Ready for Print File Setup,reorder,27/Jan/22 9:27 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157038,Open,reorder,27/Jan/22 9:27 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157027,Ready for Print File Setup,reorder,27/Jan/22 9:26 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157026,Open,reorder,27/Jan/22 9:26 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156994,Ready for Print File Setup,reorder,27/Jan/22 8:56 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156993,Brackets in Printer Queue,reorder,27/Jan/22 9:14 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156989,Ready for Print File Setup,reorder,27/Jan/22 8:52 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156988,Open,reorder,27/Jan/22 8:52 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156984,Ready for Print File Setup,reorder,27/Jan/22 8:43 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156983,Brackets in Printer Queue,reorder,27/Jan/22 9:13 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156979,Ready for Print File Setup,reorder,27/Jan/22 8:43 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156978,Brackets in Printer Queue,reorder,27/Jan/22 9:13 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156967,Ready for Print File Setup,reorder,27/Jan/22 8:24 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156966,Open,reorder,27/Jan/22 8:24 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156961,Ready for Print File Setup,reorder,27/Jan/22 8:07 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156960,Open,reorder,27/Jan/22 8:07 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156955,Ready for Print File Setup,reorder,27/Jan/22 7:59 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156954,Brackets in Printer Queue,reorder,27/Jan/22 9:14 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156922,Ready for Print File Setup,reorder,27/Jan/22 7:40 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156921,Open,reorder,27/Jan/22 9:00 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156910,Ready for Print File Setup,reorder,27/Jan/22 7:23 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156828,Ready for Print File Setup,reorder,26/Jan/22 9:06 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156827,Brackets in Printer Queue,reorder,27/Jan/22 9:14 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156795,Ready for Print File Setup,reorder,26/Jan/22 7:58 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156794,Open,reorder,26/Jan/22 7:58 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156776,Ready for Print File Setup,reorder,27/Jan/22 5:03 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156775,Warming Oven,reorder,27/Jan/22 10:43 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156771,Ready for Print File Setup,reorder,27/Jan/22 5:04 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156770,Warming Oven,reorder,27/Jan/22 10:43 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156752,Ready for Print File Setup,reorder,26/Jan/22 6:20 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156751,Open,reorder,26/Jan/22 6:20 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156740,Ready for Print File Setup,reorder,26/Jan/22 6:18 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156721,Ready for Print File Setup,reorder,26/Jan/22 6:08 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156716,Ready for Print File Setup,reorder,26/Jan/22 6:08 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156711,Ready for Print File Setup,reorder,27/Jan/22 5:04 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156710,Warming Oven,reorder,27/Jan/22 10:43 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156685,Ready for Print File Setup,reorder,27/Jan/22 5:04 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156684,Warming Oven,reorder,27/Jan/22 10:44 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156673,Ready for Print File Setup,reorder,26/Jan/22 5:54 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156672,Open,reorder,26/Jan/22 5:54 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156668,Ready to Print,reorder,27/Jan/22 8:33 AM,04/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-156667,Warming Oven,reorder,27/Jan/22 10:44 AM,04/Feb/22 12:00 AM,Highest
MakeIDB,MFG-156663,Ready for Print File Setup,reorder,26/Jan/22 5:51 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156662,Open,reorder,26/Jan/22 5:51 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156658,Ready for Print File Setup,reorder,27/Jan/22 5:24 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156657,Cerafab Print Start,reorder,27/Jan/22 11:05 AM,04/Feb/22 12:00 AM,Medium
MakeTubes,MFG-156655,Bracket Cleaning,reorder,27/Jan/22 12:21 PM,04/Feb/22 12:00 AM,Highest
MakeIDB,MFG-156653,Ready to Print,reorder,27/Jan/22 8:41 AM,04/Feb/22 12:00 AM,Highest
MakeIDB,MFG-156648,Ready for Print File Setup,reorder,27/Jan/22 5:25 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156647,Cerafab Print Start,reorder,27/Jan/22 11:06 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156625,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156624,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156620,Ready for Print File Setup,reorder,27/Jan/22 5:25 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156619,Cerafab Print Start,reorder,27/Jan/22 11:06 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156594,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156593,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156568,Ready to Print,reorder,27/Jan/22 8:33 AM,04/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-156567,Cerafab Print Start,reorder,27/Jan/22 11:05 AM,04/Feb/22 12:00 AM,Highest
MakeIDB,MFG-156563,Ready for Print File Setup,reorder,26/Jan/22 8:24 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156562,Warming Oven,reorder,26/Jan/22 9:22 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156558,Ready for Print File Setup,reorder,27/Jan/22 5:24 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156557,Cerafab Print Start,reorder,27/Jan/22 11:05 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156546,Ready for Print File Setup,reorder,27/Jan/22 5:25 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156545,Cerafab Print Start,reorder,27/Jan/22 11:06 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156541,Ready for Print File Setup,reorder,27/Jan/22 5:25 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156540,Cerafab Print Start,reorder,27/Jan/22 11:06 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156522,Ready for Print File Setup,reorder,27/Jan/22 5:25 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156521,Cerafab Print Start,reorder,27/Jan/22 11:06 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156517,Ready for Print File Setup,reorder,27/Jan/22 6:17 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156516,Cerafab Print Start,reorder,27/Jan/22 12:19 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156512,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156511,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156507,Ready for Print File Setup,reorder,27/Jan/22 6:16 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156506,Cerafab Print Start,reorder,27/Jan/22 12:22 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156502,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156501,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156476,Ready for Print File Setup,reorder,27/Jan/22 6:16 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156475,Cerafab Print Start,reorder,27/Jan/22 12:22 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156471,Ready to Print,reorder,27/Jan/22 8:40 AM,04/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-156470,Warming Oven,reorder,27/Jan/22 11:55 AM,04/Feb/22 12:00 AM,Highest
MakeIDB,MFG-156466,Ready for Print File Setup,reorder,27/Jan/22 6:17 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156465,Cerafab Print Start,reorder,27/Jan/22 12:22 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156426,Ready for Print File Setup,reorder,26/Jan/22 3:19 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156425,Debinding Program Started,reorder,27/Jan/22 10:49 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156421,Ready for Print File Setup,reorder,26/Jan/22 3:19 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156420,Debinding Program Started,reorder,27/Jan/22 10:49 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156416,Ready for Print File Setup,reorder,27/Jan/22 6:16 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156415,Cerafab Print Start,reorder,27/Jan/22 12:21 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156397,Ready for Print File Setup,reorder,27/Jan/22 6:17 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156396,Cerafab Print Start,reorder,27/Jan/22 12:21 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156378,Ready for Print File Setup,reorder,27/Jan/22 6:15 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156377,Cerafab Print Start,reorder,27/Jan/22 12:20 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156373,Ready for Print File Setup,reorder,27/Jan/22 8:10 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156372,Warming Oven,reorder,27/Jan/22 11:55 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156354,Ready for Print File Setup,reorder,27/Jan/22 7:06 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156353,Bracket Cleaning,reorder,27/Jan/22 12:58 PM,04/Feb/22 12:00 AM,Medium
MakeTubes,MFG-156323,Backlog,mixed_dentition,26/Jan/22 2:27 PM,02/Mar/22 12:00 AM,Medium
MakeIDB,MFG-156321,Backlog,mixed_dentition,26/Jan/22 2:27 PM,02/Mar/22 12:00 AM,Medium
MakeBrackets,MFG-156320,Backlog,mixed_dentition,26/Jan/22 2:27 PM,02/Mar/22 12:00 AM,Medium
MakeIDB,MFG-156314,Ready to Print,reorder,27/Jan/22 11:06 AM,04/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-156313,Warming Oven,reorder,26/Jan/22 10:13 PM,04/Feb/22 12:00 AM,Highest
MakeIDB,MFG-156309,Ready for Print File Setup,reorder,27/Jan/22 8:10 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156308,Warming Oven,reorder,27/Jan/22 11:55 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156304,Ready for Print File Setup,mixed_dentition,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156303,Bracket Cleaning,mixed_dentition,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156299,Ready for Print File Setup,reorder,26/Jan/22 2:13 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156298,Debinding Program Started,reorder,27/Jan/22 10:49 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156273,Ready for Print File Setup,reorder,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156272,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156254,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156253,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156249,Ready for Print File Setup,reorder,27/Jan/22 7:08 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156248,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156222,Ready for Print File Setup,reorder,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156221,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156210,Ready for Print File Setup,reorder,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156209,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156198,Ready for Print File Setup,reorder,26/Jan/22 12:35 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156193,Ready for Print File Setup,reorder,26/Jan/22 12:33 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156188,Ready for Print File Setup,reorder,27/Jan/22 7:08 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156187,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156176,Ready for Print File Setup,reorder,26/Jan/22 12:30 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156164,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156163,Brackets in Printer Queue,reorder,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156159,Ready for Print File Setup,reorder,27/Jan/22 9:13 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156158,Brackets in Printer Queue,reorder,27/Jan/22 9:14 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156147,Ready for Print File Setup,reorder,26/Jan/22 12:06 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156142,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156141,Brackets in Printer Queue,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156137,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156136,Brackets in Printer Queue,reorder,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156132,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156131,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
